family_id,league_id,members,rank,points,gap_to_top3_points
family_000684,ТС5-3,50,14,190,50
family_000716,ТС5-3,50,15,178,62
family_000496,ТС5-3,50,16,176,64
family_000559,ТС5-3,50,17,171,69
family_000517,ТС5-3,50,18,163,77
family_000547,ТС5-3,50,19,157,83
family_000570,ТС5-3,50,19,157,83
family_000552,ТС5-3,50,21,155,85
family_000644,ТС5-3,50,22,154,86
family_000488,ТС5-3,50,23,150,90
family_000595,ТС5-3,50,24,149,91
family_000700,ТС5-3,50,25,148,92
family_000658,ТС5-3,50,26,146,94
family_000586,ТС5-3,50,27,144,96
family_000702,ТС5-3,50,28,143,97
family_000694,ТС5-3,50,29,142,98
family_000735,ТС5-3,50,29,142,98
family_000718,ТС5-3,50,31,135,105
family_000533,ТС5-3,50,32,133,107
family_000722,ТС5-3,50,33,130,110
family_000621,ТС5-3,50,34,124,116
family_000696,ТС5-3,50,35,122,118
family_000634,ТС5-3,50,36,120,120
family_000565,ТС5-3,50,37,116,124
family_000611,ТС5-3,50,38,114,126
family_000643,ТС5-3,50,38,114,126
family_000629,ТС5-3,50,40,108,132
family_000725,ТС5-3,50,40,108,132
family_000774,ТС5-3,50,42,103,137
family_000800,ТС5-3,50,43,97,143
family_000753,ТС5-3,50,44,95,145
family_000666,ТС5-3,50,45,94,146
family_000545,ТС5-3,50,46,92,148
family_000582,ТС5-3,50,47,88,152
family_000739,ТС5-3,50,47,88,152
family_000745,ТС5-3,50,49,29,211
family_000603,ТС5-3,50,50,17,223
family_001015,ТС5-4,50,1,342,0
family_000889,ТС5-4,50,2,299,0
family_000869,ТС5-4,50,3,273,0
family_000927,ТС5-4,50,3,273,0
family_000802,ТС5-4,50,5,261,12
family_001036,ТС5-4,50,6,247,26
family_001034,ТС5-4,50,7,232,41
family_000875,ТС5-4,50,8,227,46
family_000862,ТС5-4,50,9,210,63
family_001074,ТС5-4,50,9,210,63
family_000947,ТС5-4,50,11,205,68
family_000818,ТС5-4,50,12,186,87
family_000967,ТС5-4,50,13,183,90
family_000937,ТС5-4,50,14,171,102
family_001043,ТС5-4,50,15,170,103
family_000915,ТС5-4,50,16,167,106
family_000896,ТС5-4,50,17,163,110
family_000976,ТС5-4,50,18,162,111
family_000908,ТС5-4,50,19,159,114
family_000874,ТС5-4,50,20,158,115
family_001016,ТС5-4,50,21,153,120
family_000886,ТС5-4,50,22,149,124
family_000984,ТС5-4,50,23,148,125
family_001009,ТС5-4,50,24,145,128
family_000821,ТС5-4,50,25,143,130
family_000945,ТС5-4,50,26,140,133
family_001057,ТС5-4,50,27,139,134
family_000960,ТС5-4,50,28,135,138
family_001020,ТС5-4,50,28,135,138
family_000867,ТС5-4,50,30,130,143
family_000849,ТС5-4,50,31,127,146
family_000835,ТС5-4,50,32,124,149
family_001024,ТС5-4,50,33,123,150
family_000841,ТС5-4,50,34,119,154
family_000846,ТС5-4,50,35,116,157
family_000943,ТС5-4,50,35,116,157
family_000981,ТС5-4,50,37,115,158
family_000853,ТС5-4,50,38,111,162
family_000885,ТС5-4,50,39,105,168
family_000838,ТС5-4,50,40,101,172
family_000923,ТС5-4,50,40,101,172
family_000956,ТС5-4,50,42,100,173
family_000897,ТС5-4,50,43,97,176
family_000817,ТС5-4,50,44,95,178
family_000916,ТС5-4,50,45,90,183
family_000883,ТС5-4,50,46,89,184
family_001083,ТС5-4,50,47,70,203
family_000985,ТС5-4,50,48,69,204
family_000848,ТС5-4,50,49,67,206
family_000912,ТС5-4,50,50,62,211
family_001101,ТС5-5,50,1,305,0
family_001130,ТС5-5,50,2,261,0
family_001088,ТС5-5,50,3,260,0
family_001311,ТС5-5,50,4,258,2
family_001102,ТС5-5,50,5,232,28
family_001091,ТС5-5,50,6,202,58
family_001135,ТС5-5,50,7,197,63
family_001302,ТС5-5,50,7,197,63
family_001149,ТС5-5,50,9,194,66
family_001167,ТС5-5,50,10,192,68
family_001315,ТС5-5,50,11,185,75
family_001176,ТС5-5,50,12,170,90
family_001144,ТС5-5,50,13,168,92
family_001179,ТС5-5,50,14,165,95
family_001232,ТС5-5,50,15,163,97
family_001245,ТС5-5,50,16,162,98
family_001086,ТС5-5,50,17,159,101
family_001143,ТС5-5,50,18,155,105
family_001207,ТС5-5,50,18,155,105
family_001298,ТС5-5,50,20,154,106
family_001105,ТС5-5,50,21,150,110
family_001136,ТС5-5,50,22,149,111
family_001225,ТС5-5,50,23,144,116
family_001189,ТС5-5,50,24,143,117
family_001085,ТС5-5,50,25,141,119
family_001204,ТС5-5,50,25,141,119
family_001110,ТС5-5,50,27,140,120
family_001227,ТС5-5,50,28,139,121
family_001178,ТС5-5,50,29,137,123
family_001195,ТС5-5,50,30,134,126
family_001323,ТС5-5,50,30,134,126
family_001103,ТС5-5,50,32,128,132
family_001113,ТС5-5,50,33,127,133
family_001251,ТС5-5,50,33,127,133
family_001326,ТС5-5,50,33,127,133
family_001121,ТС5-5,50,36,125,135
family_001190,ТС5-5,50,37,116,144
family_001291,ТС5-5,50,38,112,148
family_001145,ТС5-5,50,39,110,150
family_001123,ТС5-5,50,40,100,160
family_001211,ТС5-5,50,41,95,165
family_001237,ТС5-5,50,42,92,168
family_001163,ТС5-5,50,43,91,169
family_001153,ТС5-5,50,44,84,176
family_001267,ТС5-5,50,45,80,180
family_001096,ТС5-5,50,46,76,184
family_001185,ТС5-5,50,47,73,187
family_001230,ТС5-5,50,48,72,188
family_001221,ТС5-5,50,49,53,207
family_001208,ТС5-5,50,50,36,224
family_001449,ТС5-6,50,1,352,0
family_001368,ТС5-6,50,2,345,0
family_001354,ТС5-6,50,3,322,0
family_001614,ТС5-6,50,4,310,12
family_001511,ТС5-6,50,5,279,43
family_001475,ТС5-6,50,6,266,56
family_001575,ТС5-6,50,7,258,64
family_001495,ТС5-6,50,8,253,69
family_001607,ТС5-6,50,9,218,104
family_001416,ТС5-6,50,10,217,105
family_001431,ТС5-6,50,11,208,114
family_001626,ТС5-6,50,12,204,118
family_001662,ТС5-6,50,13,194,128
family_001335,ТС5-6,50,14,189,133
family_001536,ТС5-6,50,15,188,134
family_001524,ТС5-6,50,16,184,138
family_001436,ТС5-6,50,17,172,150
family_001411,ТС5-6,50,18,171,151
family_001487,ТС5-6,50,19,170,152
family_001623,ТС5-6,50,19,170,152
family_001498,ТС5-6,50,21,166,156
family_001555,ТС5-6,50,22,164,158
family_001634,ТС5-6,50,22,164,158
family_001448,ТС5-6,50,24,161,161
family_001422,ТС5-6,50,25,151,171
family_001491,ТС5-6,50,26,150,172
family_001392,ТС5-6,50,27,149,173
family_001640,ТС5-6,50,28,147,175
family_001393,ТС5-6,50,29,134,188
family_001492,ТС5-6,50,29,134,188
family_001584,ТС5-6,50,31,133,189
family_001399,ТС5-6,50,32,128,194
family_001471,ТС5-6,50,32,128,194
family_001523,ТС5-6,50,32,128,194
family_001493,ТС5-6,50,35,125,197
family_001500,ТС5-6,50,36,121,201
family_001461,ТС5-6,50,37,114,208
family_001477,ТС5-6,50,38,112,210
family_001625,ТС5-6,50,39,110,212
family_001473,ТС5-6,50,40,106,216
family_001595,ТС5-6,50,41,98,224
family_001644,ТС5-6,50,42,87,235
family_001395,ТС5-6,50,43,85,237
family_001539,ТС5-6,50,44,84,238
family_001655,ТС5-6,50,45,82,240
family_001497,ТС5-6,50,46,81,241
family_001383,ТС5-6,50,47,79,243
family_001505,ТС5-6,50,48,60,262
family_001619,ТС5-6,50,49,48,274
family_001369,ТС5-6,50,50,33,289
family_001699,ТС5-7,50,1,375,0
family_001927,ТС5-7,50,2,315,0
family_001798,ТС5-7,50,3,279,0
family_001696,ТС5-7,50,4,257,22
family_001893,ТС5-7,50,5,216,63
family_001901,ТС5-7,50,6,201,78
family_001925,ТС5-7,50,7,200,79
family_001833,ТС5-7,50,8,194,85
family_001674,ТС5-7,50,9,177,102
family_001808,ТС5-7,50,10,174,105
family_001834,ТС5-7,50,10,174,105
family_001791,ТС5-7,50,12,171,108
family_001784,ТС5-7,50,13,170,109
family_001694,ТС5-7,50,14,167,112
family_001780,ТС5-7,50,14,167,112
family_001709,ТС5-7,50,16,166,113
family_001912,ТС5-7,50,16,166,113
family_001754,ТС5-7,50,18,165,114
family_001824,ТС5-7,50,19,162,117
family_001667,ТС5-7,50,20,159,120
family_001703,ТС5-7,50,21,151,128
family_001871,ТС5-7,50,22,149,130
family_001821,ТС5-7,50,23,145,134
family_001779,ТС5-7,50,24,142,137
family_001853,ТС5-7,50,25,141,138
family_001691,ТС5-7,50,26,135,144
family_001785,ТС5-7,50,27,130,149
family_001793,ТС5-7,50,27,130,149
family_001786,ТС5-7,50,29,129,150
family_001790,ТС5-7,50,29,129,150
family_001936,ТС5-7,50,29,129,150
family_001750,ТС5-7,50,32,127,152
family_001759,ТС5-7,50,33,124,155
family_001803,ТС5-7,50,34,121,158
family_001749,ТС5-7,50,35,117,162
family_001681,ТС5-7,50,36,114,165
family_001847,ТС5-7,50,37,113,166
family_001879,ТС5-7,50,37,113,166
family_001849,ТС5-7,50,39,112,167
family_001827,ТС5-7,50,40,109,170
family_001902,ТС5-7,50,41,103,176
family_001866,ТС5-7,50,42,101,178
family_001860,ТС5-7,50,43,97,182
family_001924,ТС5-7,50,44,95,184
family_001948,ТС5-7,50,45,93,186
family_001725,ТС5-7,50,46,91,188
family_001829,ТС5-7,50,47,90,189
family_001722,ТС5-7,50,48,80,199
family_001777,ТС5-7,50,49,50,229
family_001828,ТС5-7,50,50,22,257
family_001960,ТС5-8,7,1,245,0
family_001956,ТС5-8,7,2,235,0
family_001969,ТС5-8,7,3,232,0
family_001970,ТС5-8,7,3,232,0
family_001991,ТС5-8,7,5,141,91
family_ivanovy,ТС5-8,7,6,130,102
family_001972,ТС5-8,7,7,123,109
family_000196,ТСЧ-1,50,1,403,0
family_000688,ТСЧ-1,50,2,330,0
family_000311,ТСЧ-1,50,3,312,0
family_000460,ТСЧ-1,50,4,297,15
family_000084,ТСЧ-1,50,5,289,23
family_000279,ТСЧ-1,50,6,286,26
family_000049,ТСЧ-1,50,7,279,33
family_000534,ТСЧ-1,50,8,270,42
family_001141,ТСЧ-1,50,9,260,52
family_000126,ТСЧ-1,50,10,256,56
family_000146,ТСЧ-1,50,11,251,61
family_000686,ТСЧ-1,50,12,247,65
family_000949,ТСЧ-1,50,12,247,65
family_000027,ТСЧ-1,50,14,219,93
family_000562,ТСЧ-1,50,15,216,96
family_000251,ТСЧ-1,50,16,193,119
family_001003,ТСЧ-1,50,17,191,121
family_000893,ТСЧ-1,50,18,190,122
family_000446,ТСЧ-1,50,19,188,124
family_000910,ТСЧ-1,50,20,187,125
family_000760,ТСЧ-1,50,21,180,132
family_000641,ТСЧ-1,50,22,178,134
family_001006,ТСЧ-1,50,23,177,135
family_000313,ТСЧ-1,50,24,171,141
family_000297,ТСЧ-1,50,25,170,142
family_001170,ТСЧ-1,50,26,167,145
family_000087,ТСЧ-1,50,27,163,149
family_000347,ТСЧ-1,50,28,160,152
family_000683,ТСЧ-1,50,29,159,153
family_000387,ТСЧ-1,50,30,149,163
family_000181,ТСЧ-1,50,31,147,165
family_000264,ТСЧ-1,50,32,142,170
family_000280,ТСЧ-1,50,33,139,173
family_000768,ТСЧ-1,50,34,134,178
family_000352,ТСЧ-1,50,35,133,179
family_000144,ТСЧ-1,50,36,132,180
family_000836,ТСЧ-1,50,37,129,183
family_000598,ТСЧ-1,50,38,128,184
family_000526,ТСЧ-1,50,39,123,189
family_000510,ТСЧ-1,50,40,116,196
family_000877,ТСЧ-1,50,40,116,196
family_000727,ТСЧ-1,50,42,113,199
family_001175,ТСЧ-1,50,43,112,200
family_000330,ТСЧ-1,50,44,109,203
family_000483,ТСЧ-1,50,44,109,203
family_000166,ТСЧ-1,50,46,107,205
family_000856,ТСЧ-1,50,47,99,213
family_000336,ТСЧ-1,50,48,93,219
family_000394,ТСЧ-1,50,49,89,223
family_000593,ТСЧ-1,50,50,85,227
family_001668,ТСЧ-2,50,1,396,0
family_001340,ТСЧ-2,50,2,334,0
family_001397,ТСЧ-2,50,3,330,0
family_001564,ТСЧ-2,50,4,310,20
family_001590,ТСЧ-2,50,5,285,45
family_001624,ТСЧ-2,50,5,285,45
family_001476,ТСЧ-2,50,7,270,60
family_001689,ТСЧ-2,50,7,270,60
family_dima,ТСЧ-2,50,9,252,78
family_001217,ТСЧ-2,50,10,240,90
family_001677,ТСЧ-2,50,10,240,90
family_001700,ТСЧ-2,50,10,240,90
family_001647,ТСЧ-2,50,13,238,92
family_001797,ТСЧ-2,50,14,234,96
family_001522,ТСЧ-2,50,15,215,115
family_001953,ТСЧ-2,50,16,207,123
family_001304,ТСЧ-2,50,17,182,148
family_001765,ТСЧ-2,50,18,177,153
family_001639,ТСЧ-2,50,19,176,154
family_001545,ТСЧ-2,50,20,175,155
family_001465,ТСЧ-2,50,21,171,159
family_001989,ТСЧ-2,50,22,157,173
family_001322,ТСЧ-2,50,23,156,174
family_001931,ТСЧ-2,50,23,156,174
family_001503,ТСЧ-2,50,25,146,184
family_001458,ТСЧ-2,50,26,140,190
family_001219,ТСЧ-2,50,27,139,191
family_001974,ТСЧ-2,50,27,139,191
family_001878,ТСЧ-2,50,29,135,195
family_001415,ТСЧ-2,50,30,134,196
family_001373,ТСЧ-2,50,31,129,201
family_001490,ТСЧ-2,50,32,127,203
family_001588,ТСЧ-2,50,33,123,207
family_001407,ТСЧ-2,50,34,120,210
family_001637,ТСЧ-2,50,35,109,221
family_001763,ТСЧ-2,50,36,107,223
family_001776,ТСЧ-2,50,36,107,223
family_001541,ТСЧ-2,50,38,106,224
family_001661,ТСЧ-2,50,39,103,227
family_001231,ТСЧ-2,50,40,102,228
family_001394,ТСЧ-2,50,41,99,231
family_001438,ТСЧ-2,50,42,96,234
family_001546,ТСЧ-2,50,42,96,234
family_001593,ТСЧ-2,50,42,96,234
family_001778,ТСЧ-2,50,45,86,244
family_001562,ТСЧ-2,50,46,85,245
family_001680,ТСЧ-2,50,47,84,246
family_001730,ТСЧ-2,50,48,77,253
family_001761,ТСЧ-2,50,49,74,256
family_001338,ТСЧ-2,50,50,55,275
family_001731,ТСХ-1,50,1,448,0
family_000567,ТСХ-1,50,2,444,0
family_000380,ТСХ-1,50,3,400,0
family_001877,ТСХ-1,50,4,335,65
family_001556,ТСХ-1,50,5,329,71
family_001932,ТСХ-1,50,6,325,75
family_001597,ТСХ-1,50,7,323,77
family_001100,ТСХ-1,50,8,305,95
family_001695,ТСХ-1,50,9,292,108
family_001531,ТСХ-1,50,10,286,114
family_000925,ТСХ-1,50,11,285,115
family_000963,ТСХ-1,50,12,269,131
family_001078,ТСХ-1,50,13,261,139
family_001732,ТСХ-1,50,14,250,150
family_000957,ТСХ-1,50,15,247,153
family_000843,ТСХ-1,50,16,245,155
family_001293,ТСХ-1,50,17,241,159
family_000878,ТСХ-1,50,18,236,164
family_000059,ТСХ-1,50,19,227,173
family_001617,ТСХ-1,50,20,226,174
family_001496,ТСХ-1,50,21,217,183
family_001002,ТСХ-1,50,22,212,188
family_001005,ТСХ-1,50,23,209,191
family_001693,ТСХ-1,50,24,205,195
family_001888,ТСХ-1,50,25,200,200
family_000108,ТСХ-1,50,26,193,207
family_000163,ТСХ-1,50,27,192,208
family_001297,ТСХ-1,50,28,182,218
family_001238,ТСХ-1,50,29,176,224
family_001894,ТСХ-1,50,30,173,227
family_001815,ТСХ-1,50,31,171,229
family_001414,ТСХ-1,50,32,168,232
family_001445,ТСХ-1,50,33,167,233
family_000661,ТСХ-1,50,34,164,236
family_000447,ТСХ-1,50,35,155,245
family_001319,ТСХ-1,50,36,148,252
family_001146,ТСХ-1,50,37,143,257
family_001183,ТСХ-1,50,38,139,261
family_000219,ТСХ-1,50,39,138,262
family_001045,ТСХ-1,50,40,129,271
family_001446,ТСХ-1,50,41,128,272
family_001301,ТСХ-1,50,42,117,283
family_000191,ТСХ-1,50,43,113,287
family_001571,ТСХ-1,50,44,111,289
family_001349,ТСХ-1,50,45,108,292
family_000495,ТСХ-1,50,46,99,301
family_001653,ТСХ-1,50,47,93,307
family_001629,ТСХ-1,50,48,83,317
family_000911,ТСХ-1,50,49,64,336
family_001679,ТСХ-1,50,49,64,336
family_001995,ТСХ-2,3,1,386,0
family_001992,ТСХ-2,3,2,149,0
family_001966,ТСХ-2,3,3,108,0
