family_id,week,assigned,challenge_completed,goal_saving_minor,eligible_saving_minor,growth_delta_cm,growth_total_cm,points,purchase_days_synthetic
family_000059,2026-W35,True,False,3708,32278,1.8,9.0,68,2
family_000059,2026-W36,True,True,5827,11869,4.0,13.0,56,2
family_000061,2026-W33,True,True,4026,12896,3.8,3.8,54,2
family_000061,2026-W34,True,True,9335,19927,5.0,8.8,76,3
family_000061,2026-W35,True,True,11218,24730,5.0,13.8,90,3
family_000061,2026-W36,True,True,3807,16821,4.6,18.4,62,3
family_000067,2026-W33,True,True,1480,9093,3.6,3.6,43,2
family_000067,2026-W34,True,True,3284,9336,3.6,7.2,43,2
family_000067,2026-W35,True,True,3542,9961,4.0,11.2,52,2
family_000067,2026-W36,True,True,3555,3555,2.8,14.0,32,1
family_000084,2026-W33,True,True,4734,14782,4.0,4.0,62,2
family_000084,2026-W34,True,True,8372,22960,5.0,9.0,90,3
family_000084,2026-W35,True,True,9317,19057,4.4,13.4,79,2
family_000084,2026-W36,True,True,5864,12901,3.2,16.6,58,1
family_000085,2026-W33,True,True,2131,3153,3.6,3.6,31,2
family_000085,2026-W34,True,False,0,2960,1.6,5.2,5,2
family_000085,2026-W35,True,True,3688,5167,3.6,8.8,35,2
family_000085,2026-W36,True,False,569,1066,1.6,10.4,2,2
family_000087,2026-W33,True,False,2087,7966,1.2,1.2,23,1
family_000087,2026-W34,True,False,3219,10728,1.8,3.0,25,2
family_000087,2026-W35,True,True,11099,19186,3.8,6.8,67,2
family_000087,2026-W36,True,True,5492,9699,3.8,10.6,48,2
family_000091,2026-W33,True,True,1412,2294,3.6,3.6,29,2
family_000091,2026-W34,True,True,4628,12008,3.8,7.4,53,2
family_000091,2026-W35,True,False,0,4879,1.6,9.0,9,2
family_000091,2026-W36,True,True,1078,2519,2.8,11.8,30,1
family_000093,2026-W33,True,True,1670,3277,3.6,3.6,31,2
family_000093,2026-W34,True,True,1168,3201,3.6,7.2,31,2
family_000093,2026-W35,True,False,592,2377,1.6,8.8,4,2
family_000093,2026-W36,True,True,1006,9489,3.6,12.4,43,2
family_000096,2026-W33,True,True,1857,8416,3.8,3.8,45,2
family_000096,2026-W34,True,True,1997,4568,3.6,7.4,34,2
family_000096,2026-W35,True,False,0,1549,1.6,9.0,3,2
family_000096,2026-W36,True,False,1359,5977,1.6,10.6,11,2
family_000101,2026-W33,True,True,4875,7650,4.6,4.6,44,3
family_000101,2026-W34,True,True,3046,12779,4.8,9.4,58,3
family_000101,2026-W35,True,False,1497,4142,1.6,11.0,8,2
family_000101,2026-W36,True,True,5902,10066,4.4,15.4,45,3
family_000106,2026-W33,True,True,8210,18306,4.2,4.2,73,2
family_000106,2026-W34,True,True,9036,19038,4.8,9.0,71,3
family_000106,2026-W35,True,False,0,16456,1.6,10.6,32,2
family_000106,2026-W36,True,False,2860,6863,1.8,12.4,17,2
family_000108,2026-W33,True,True,2212,10045,3.6,3.6,45,2
family_000108,2026-W34,True,True,2352,12702,3.6,7.2,50,2
family_000108,2026-W35,True,True,8190,17774,3.8,11.0,64,2
family_000108,2026-W36,True,True,4197,4834,4.4,15.4,34,3
family_000109,2026-W33,True,True,7050,7723,3.6,3.6,40,2
family_000109,2026-W34,True,True,3415,8968,3.0,6.6,46,1
family_000109,2026-W35,True,True,7508,9666,3.8,10.4,48,2
family_000109,2026-W36,True,True,3180,6221,2.8,13.2,37,1
family_000110,2026-W33,True,True,4431,8531,3.6,3.6,42,2
family_000110,2026-W34,True,False,749,7897,1.8,5.4,19,2
family_000110,2026-W35,True,True,2104,2104,3.6,9.0,29,2
family_000110,2026-W36,True,True,5791,7021,3.6,12.6,39,2
family_000122,2026-W33,True,True,13015,17138,5.0,5.0,79,3
family_000122,2026-W34,True,True,5116,18550,4.8,9.8,70,3
family_000122,2026-W35,True,True,11013,32430,4.6,14.4,113,2
family_000122,2026-W36,True,True,8621,20864,4.6,19.0,86,2
family_000124,2026-W33,True,True,4582,9654,3.8,3.8,48,2
family_000124,2026-W34,True,True,3618,6253,3.6,7.4,37,2
family_000124,2026-W35,True,True,7173,14970,3.6,11.0,54,2
family_000124,2026-W36,True,False,0,6196,1.6,12.6,12,2
family_000126,2026-W33,True,True,6741,20887,4.0,4.0,74,2
family_000126,2026-W34,True,True,4469,17994,3.8,7.8,64,2
family_000126,2026-W35,True,True,3611,16306,3.8,11.6,61,2
family_000126,2026-W36,True,True,4305,14136,3.8,15.4,57,2
family_000127,2026-W33,True,True,3711,10480,3.6,3.6,45,2
family_000127,2026-W34,True,False,0,7796,2.4,6.0,15,3
family_000127,2026-W35,True,False,0,6387,2.4,8.4,12,3
family_000127,2026-W36,True,True,1670,5084,4.4,12.8,35,3
family_000130,2026-W33,True,True,4297,7490,4.4,4.4,39,3
family_000130,2026-W34,True,False,867,2860,1.6,6.0,5,2
family_000130,2026-W35,True,True,7341,11051,3.8,9.8,51,2
family_000130,2026-W36,True,True,2485,4117,3.6,13.4,33,2
family_000132,2026-W33,True,False,0,3430,1.6,1.6,6,2
family_000132,2026-W34,True,False,1009,2036,1.6,3.2,4,2
family_000132,2026-W35,True,True,2394,4166,3.6,6.8,33,2
family_000132,2026-W36,True,True,7882,8546,2.8,9.6,42,1
family_000133,2026-W33,True,True,8065,10199,3.2,3.2,53,1
family_000133,2026-W34,True,True,5287,17380,4.2,7.4,71,2
family_000133,2026-W35,True,False,0,10296,1.0,8.4,24,1
family_000133,2026-W36,True,False,0,16395,2.0,10.4,40,2
family_000138,2026-W33,True,False,0,31600,3.6,3.6,71,4
family_000138,2026-W34,True,False,0,14353,1.0,4.6,32,1
family_000138,2026-W35,True,True,6355,15240,4.6,9.2,59,3
family_000138,2026-W36,True,True,7871,22772,5.0,14.2,82,3
family_000142,2026-W33,True,True,5277,19373,4.8,4.8,71,3
family_000142,2026-W34,True,True,2505,10467,4.0,8.8,53,2
family_000142,2026-W35,True,True,2159,16845,4.0,12.8,66,2
family_000142,2026-W36,True,False,0,10392,0.8,13.6,20,1
family_000144,2026-W33,True,True,3785,10602,3.8,3.8,50,2
family_000144,2026-W34,True,True,2289,3433,3.6,7.4,31,2
family_000144,2026-W35,True,False,0,6136,1.8,9.2,16,2
family_000144,2026-W36,True,True,2061,5065,3.6,12.8,35,2
family_000146,2026-W33,True,True,14825,29742,4.2,4.2,96,2
family_000146,2026-W34,True,True,5066,18481,4.6,8.8,65,3
family_000146,2026-W35,True,False,0,14833,1.6,10.4,29,2
family_000146,2026-W36,True,True,6598,14097,4.0,14.4,61,2
family_000148,2026-W33,True,True,11732,15335,4.2,4.2,67,2
family_000148,2026-W34,True,True,6449,15298,3.2,7.4,63,1
family_000148,2026-W35,True,False,0,9575,2.4,9.8,19,3
family_000148,2026-W36,True,False,0,6419,1.6,11.4,12,2
family_000151,2026-W33,True,True,4552,21084,5.0,5.0,83,3
family_000151,2026-W34,True,False,0,11344,1.6,6.6,22,2
family_000151,2026-W35,True,True,10356,28779,5.0,11.6,94,3
family_000151,2026-W36,True,True,21644,28449,5.0,16.6,101,3
family_000162,2026-W33,True,False,1093,10063,1.8,1.8,24,2
family_000162,2026-W34,True,False,1780,7713,1.8,3.6,19,2
family_000162,2026-W35,True,True,7706,10865,3.0,6.6,50,1
family_000162,2026-W36,True,False,0,3838,0.8,7.4,7,1
family_000163,2026-W33,True,False,0,8607,1.6,1.6,17,2
family_000163,2026-W34,True,True,3611,10146,3.6,5.2,45,2
family_000163,2026-W35,True,True,9657,16635,3.8,9.0,62,2
family_000163,2026-W36,True,True,6273,19625,4.6,13.6,68,3
family_000166,2026-W33,True,True,1957,10202,3.8,3.8,49,2
family_000166,2026-W34,True,False,0,1165,1.6,5.4,2,2
family_000166,2026-W35,True,True,4154,8201,3.6,9.0,41,2
family_000166,2026-W36,True,False,0,7921,1.6,10.6,15,2
family_000169,2026-W33,True,False,0,1336,0.8,0.8,2,1
family_000169,2026-W34,True,False,0,4995,0.8,1.6,9,1
family_000169,2026-W35,True,False,0,1381,0.8,2.4,2,1
family_000169,2026-W36,True,False,0,7008,1.6,4.0,14,2
family_000170,2026-W33,True,False,0,13317,1.6,1.6,26,2
family_000170,2026-W34,True,False,0,10937,1.0,2.6,25,1
family_000170,2026-W35,True,True,7099,17847,5.0,7.6,76,3
family_000170,2026-W36,True,True,7590,18997,3.8,11.4,66,2
family_000174,2026-W33,True,True,5422,9956,3.6,3.6,44,2
family_000174,2026-W34,True,False,1099,1099,1.6,5.2,2,2
family_000174,2026-W35,True,True,3864,4747,3.6,8.8,34,2
family_000174,2026-W36,True,False,0,0,0.8,9.6,0,1
family_000179,2026-W33,True,True,9698,22124,4.8,4.8,77,3
family_000179,2026-W34,True,True,5072,18820,4.2,9.0,74,2
family_000179,2026-W35,True,True,4995,17325,4.4,13.4,75,2
family_000179,2026-W36,True,True,4442,19056,4.6,18.0,67,3
family_000181,2026-W33,True,True,2586,10825,3.8,3.8,50,2
family_000181,2026-W34,True,True,1080,7039,3.2,7.0,47,1
family_000181,2026-W35,True,False,0,3932,1.6,8.6,7,2
family_000181,2026-W36,True,True,5664,9127,3.6,12.2,43,2
family_000184,2026-W33,True,True,1414,5530,3.6,3.6,36,2
family_000184,2026-W34,True,True,3733,11025,3.8,7.4,51,2
family_000184,2026-W35,True,False,1745,4956,1.6,9.0,9,2
family_000184,2026-W36,True,True,1819,7984,3.8,12.8,44,2
family_000190,2026-W33,True,True,6212,14063,4.4,4.4,53,3
family_000190,2026-W34,True,False,1762,3611,0.8,5.2,7,1
family_000190,2026-W35,True,True,2877,14540,3.8,9.0,58,2
family_000190,2026-W36,True,False,939,2684,1.6,10.6,5,2
family_000191,2026-W33,True,True,2268,3588,2.8,2.8,32,1
family_000191,2026-W34,True,True,7088,9859,3.8,6.6,48,2
family_000191,2026-W35,True,False,991,4266,1.6,8.2,8,2
family_000191,2026-W36,True,False,0,12562,1.6,9.8,25,2
family_000195,2026-W33,True,False,0,1762,1.6,1.6,3,2
family_000195,2026-W34,True,False,1021,6669,0.8,2.4,13,1
family_000195,2026-W35,True,True,9537,9537,3.8,6.2,48,2
family_000195,2026-W36,True,False,0,1514,1.6,7.8,3,2
family_000196,2026-W33,True,True,7133,22452,3.8,3.8,73,2
family_000196,2026-W34,True,True,21585,34281,4.6,8.4,113,2
family_000196,2026-W35,True,True,12164,31234,5.0,13.4,107,3
family_000196,2026-W36,True,True,17587,36919,4.2,17.6,110,2
family_000198,2026-W33,True,False,0,2938,1.6,1.6,5,2
family_000198,2026-W34,True,False,550,2851,0.8,2.4,5,1
family_000198,2026-W35,True,True,2023,5177,3.6,6.0,35,2
family_000198,2026-W36,True,True,2652,3896,3.6,9.6,32,2
family_000199,2026-W33,True,True,7357,12141,4.6,4.6,53,3
family_000199,2026-W34,True,True,3150,6229,2.8,7.4,37,1
family_000199,2026-W35,True,False,0,0,0.8,8.2,0,1
family_000199,2026-W36,True,True,6871,9002,3.8,12.0,47,2
family_000202,2026-W33,True,True,2756,11948,3.8,3.8,52,2
family_000202,2026-W34,True,True,6940,17995,4.8,8.6,68,3
family_000202,2026-W35,True,True,7087,15239,4.8,13.4,63,3
family_000202,2026-W36,True,True,7975,17360,4.0,17.4,67,2
family_000203,2026-W33,True,True,1406,4474,2.8,2.8,33,1
family_000203,2026-W34,True,False,0,5585,1.6,4.4,11,2
family_000203,2026-W35,True,True,6306,8746,3.8,8.2,46,2
family_000203,2026-W36,True,True,1055,2809,3.6,11.8,30,2
family_000204,2026-W33,True,False,616,1002,1.6,1.6,2,2
family_000204,2026-W34,True,False,0,656,0.8,2.4,1,1
family_000204,2026-W35,True,False,756,5169,1.6,4.0,10,2
family_000204,2026-W36,True,True,2883,7535,3.8,7.8,44,2
family_000215,2026-W33,True,False,0,445,1.6,1.6,0,2
family_000215,2026-W34,True,False,0,5378,0.8,2.4,10,1
family_000215,2026-W35,True,True,1949,8642,3.6,6.0,42,2
family_000215,2026-W36,True,False,818,11726,2.4,8.4,23,3
family_000218,2026-W33,True,True,1987,8437,3.6,3.6,41,2
family_000218,2026-W34,True,True,1214,5090,3.6,7.2,35,2
family_000218,2026-W35,True,False,798,4001,1.6,8.8,8,2
family_000218,2026-W36,True,True,2258,3649,3.6,12.4,32,2
family_000219,2026-W33,True,True,5804,11594,4.0,4.0,56,2
family_000219,2026-W34,True,False,1042,5106,2.4,6.4,10,3
family_000219,2026-W35,True,True,3971,7971,2.8,9.2,40,1
family_000219,2026-W36,True,False,1645,16285,1.6,10.8,32,2
family_000221,2026-W33,True,True,9278,22468,4.0,4.0,77,2
family_000221,2026-W34,True,False,0,12810,0.8,4.8,25,1
family_000221,2026-W35,True,True,15061,23556,4.4,9.2,88,2
family_000221,2026-W36,True,False,0,6473,0.8,10.0,12,1
family_000224,2026-W33,True,True,2877,7661,3.6,3.6,40,2
family_000224,2026-W34,True,True,3241,9086,3.8,7.4,47,2
family_000224,2026-W35,True,True,1451,3658,3.6,11.0,32,2
family_000224,2026-W36,True,False,1310,4754,0.8,11.8,9,1
family_000236,2026-W33,True,True,2889,7645,3.8,3.8,44,2
family_000236,2026-W34,True,False,0,662,1.6,5.4,1,2
family_000236,2026-W35,True,False,0,3223,1.6,7.0,6,2
family_000236,2026-W36,True,True,1735,3207,2.8,9.8,31,1
family_000239,2026-W33,True,True,4015,21737,4.2,4.2,80,2
family_000239,2026-W34,True,False,3887,8728,1.2,5.4,25,1
family_000239,2026-W35,True,False,0,15421,1.8,7.2,34,2
family_000239,2026-W36,True,False,0,7872,1.6,8.8,15,2
family_000243,2026-W33,True,False,2348,13323,2.0,2.0,34,2
family_000243,2026-W34,True,True,7368,25465,5.0,7.0,83,4
family_000243,2026-W35,True,True,5702,20490,4.2,11.2,77,2
family_000243,2026-W36,True,False,1644,8712,1.8,13.0,21,2
family_000251,2026-W33,True,False,2290,25399,2.6,2.6,70,2
family_000251,2026-W34,True,True,6264,25013,4.0,6.6,83,2
family_000251,2026-W35,True,False,0,4192,1.0,7.6,12,1
family_000251,2026-W36,True,False,0,12200,1.0,8.6,28,1
family_000252,2026-W33,True,False,0,12194,1.0,1.0,28,1
family_000252,2026-W34,True,False,0,6545,1.0,2.0,17,1
family_000252,2026-W35,True,True,2403,9827,4.0,6.0,52,2
family_000252,2026-W36,True,False,0,0,0.0,6.0,0,0
family_000254,2026-W33,True,True,3163,4086,3.6,3.6,33,2
family_000254,2026-W34,True,True,3687,4709,3.6,7.2,34,2
family_000254,2026-W35,True,False,943,5719,1.6,8.8,11,2
family_000254,2026-W36,True,True,1603,6734,3.6,12.4,38,2
family_000256,2026-W33,True,False,0,6479,1.0,1.0,16,1
family_000256,2026-W34,True,False,0,17813,1.8,2.8,39,2
family_000256,2026-W35,True,True,3031,6380,3.8,6.6,41,2
family_000256,2026-W36,True,True,3269,11689,4.0,10.6,56,2
family_000262,2026-W33,True,False,0,7803,1.6,1.6,15,2
family_000262,2026-W34,True,True,3217,17003,3.8,5.4,63,2
family_000262,2026-W35,True,True,4101,11989,4.8,10.2,56,3
family_000262,2026-W36,True,True,2713,15867,4.6,14.8,60,3
family_000264,2026-W33,True,False,919,3595,1.6,1.6,7,2
family_000264,2026-W34,True,True,4858,12377,4.6,6.2,53,3
family_000264,2026-W35,True,True,6739,15525,4.0,10.2,64,2
family_000264,2026-W36,True,False,636,9477,2.4,12.6,18,3
family_000267,2026-W33,True,True,14716,16126,3.8,3.8,61,2
family_000267,2026-W34,True,False,1705,5291,1.6,5.4,10,2
family_000267,2026-W35,True,True,5937,7770,3.6,9.0,40,2
family_000267,2026-W36,True,True,6307,10789,3.8,12.8,50,2
family_000268,2026-W33,True,True,2610,10254,3.0,3.0,49,1
family_000268,2026-W34,True,True,1236,4081,3.6,6.6,33,2
family_000268,2026-W35,True,True,1715,9446,3.8,10.4,47,2
family_000268,2026-W36,True,True,2700,4794,2.8,13.2,34,1
family_000272,2026-W33,True,False,0,7890,1.6,1.6,15,2
family_000272,2026-W34,True,False,0,12486,1.8,3.4,28,2
family_000272,2026-W35,True,False,0,5765,2.4,5.8,11,3
family_000272,2026-W36,True,True,4597,5896,3.0,8.8,40,1
family_000275,2026-W33,True,True,4207,7762,4.4,4.4,40,3
family_000275,2026-W34,True,True,2767,6074,2.8,7.2,37,1
family_000275,2026-W35,True,True,2016,5718,3.6,10.8,36,2
family_000275,2026-W36,True,True,2129,4288,2.8,13.6,33,1
family_000276,2026-W33,True,True,3659,6734,4.4,4.4,38,3
family_000276,2026-W34,True,False,0,4054,2.6,7.0,12,3
family_000276,2026-W35,True,True,7709,7709,3.8,10.8,44,2
family_000276,2026-W36,True,True,2198,5240,3.6,14.4,35,2
family_000279,2026-W33,True,True,28345,35274,4.4,4.4,111,2
family_000279,2026-W34,True,True,6706,14010,4.0,8.4,61,2
family_000279,2026-W35,True,True,3501,6626,3.8,12.2,42,2
family_000279,2026-W36,True,True,6332,21743,3.8,16.0,72,2
family_000280,2026-W33,True,True,1561,4042,4.4,4.4,33,3
family_000280,2026-W34,True,True,3460,4365,4.6,9.0,37,3
family_000280,2026-W35,True,True,1364,4027,3.8,12.8,37,2
family_000280,2026-W36,True,True,1087,3905,3.6,16.4,32,2
family_000284,2026-W33,True,False,0,5900,2.4,2.4,11,3
family_000284,2026-W34,True,True,11265,13561,4.8,7.2,60,3
family_000284,2026-W35,True,True,1801,7115,4.4,11.6,39,3
family_000284,2026-W36,True,True,5063,14507,4.4,16.0,54,3
family_000297,2026-W33,True,True,12450,16837,3.8,3.8,62,2
family_000297,2026-W34,True,True,971,1700,3.6,7.4,28,2
family_000297,2026-W35,True,True,1541,4180,3.8,11.2,37,2
family_000297,2026-W36,True,True,3728,7340,3.8,15.0,43,2
family_000298,2026-W33,True,False,0,5030,1.8,1.8,14,2
family_000298,2026-W34,True,False,0,582,1.6,3.4,1,2
family_000298,2026-W35,True,True,1359,5810,3.6,7.0,36,2
family_000298,2026-W36,True,True,5771,7695,3.6,10.6,40,2
family_000300,2026-W33,True,True,1912,5106,3.6,3.6,35,2
family_000300,2026-W34,True,True,10064,12112,4.6,8.2,53,3
family_000300,2026-W35,True,True,1625,10707,4.8,13.0,54,3
family_000300,2026-W36,True,False,0,7926,1.8,14.8,19,2
family_000304,2026-W33,True,False,0,9492,2.4,2.4,18,3
family_000304,2026-W34,True,False,0,3876,2.4,4.8,7,3
family_000304,2026-W35,True,True,1633,10914,3.8,8.6,50,2
family_000304,2026-W36,True,True,5283,11582,4.6,13.2,52,3
family_000311,2026-W33,True,True,12452,33463,5.0,5.0,103,3
family_000311,2026-W34,True,False,0,11181,1.6,6.6,22,2
family_000311,2026-W35,True,True,12343,34279,4.4,11.0,109,2
family_000311,2026-W36,True,True,5988,24593,4.6,15.6,78,3
family_000313,2026-W33,True,True,9525,15115,3.6,3.6,55,2
family_000313,2026-W34,True,True,10699,12563,3.6,7.2,50,2
family_000313,2026-W35,True,False,0,6608,1.8,9.0,17,2
family_000313,2026-W36,True,True,5016,10424,3.8,12.8,49,2
family_000322,2026-W33,True,True,5031,7471,3.0,3.0,43,1
family_000322,2026-W34,True,False,797,1411,0.8,3.8,2,1
family_000322,2026-W35,True,False,936,12569,1.8,5.6,29,2
family_000322,2026-W36,True,True,5707,13341,4.0,9.6,59,2
family_000330,2026-W33,True,True,13991,15246,4.6,4.6,59,3
family_000330,2026-W34,True,False,0,0,0.0,4.6,0,0
family_000330,2026-W35,True,False,2471,4835,1.6,6.2,9,2
family_000330,2026-W36,True,True,5854,8398,3.6,9.8,41,2
family_000336,2026-W33,True,True,4903,15468,3.6,3.6,55,2
family_000336,2026-W34,True,False,0,0,0.0,3.6,0,0
family_000336,2026-W35,True,False,0,1933,0.8,4.4,3,1
family_000336,2026-W36,True,True,2192,5150,2.8,7.2,35,1
family_000339,2026-W33,True,True,4415,11895,4.6,4.6,52,3
family_000339,2026-W34,True,False,682,12197,3.4,8.0,28,4
family_000339,2026-W35,True,False,1468,11613,1.8,9.8,27,2
family_000339,2026-W36,True,False,0,2733,2.4,12.2,5,3
family_000347,2026-W33,True,True,5812,6993,4.4,4.4,38,3
family_000347,2026-W34,True,True,7509,7509,3.6,8.0,40,2
family_000347,2026-W35,True,True,5787,8613,3.6,11.6,42,2
family_000347,2026-W36,True,True,6959,7960,2.8,14.4,40,1
family_000350,2026-W33,True,True,1779,16420,4.2,4.2,69,2
family_000350,2026-W34,True,True,5316,10974,3.2,7.4,54,1
family_000350,2026-W35,True,True,5463,19048,4.6,12.0,67,3
family_000350,2026-W36,True,True,5650,9590,4.2,16.2,56,2
family_000351,2026-W33,True,False,0,5193,1.8,1.8,14,2
family_000351,2026-W34,True,False,0,0,0.0,1.8,0,0
family_000351,2026-W35,True,True,3726,7715,3.8,5.6,44,2
family_000351,2026-W36,True,False,0,8183,2.0,7.6,24,2
family_000352,2026-W33,True,False,597,6748,0.8,0.8,13,1
family_000352,2026-W34,True,True,2180,11514,3.6,4.4,48,2
family_000352,2026-W35,True,False,1076,8414,2.6,7.0,20,3
family_000352,2026-W36,True,True,3361,13937,3.6,10.6,52,2
family_000356,2026-W33,True,False,0,0,1.6,1.6,0,2
family_000356,2026-W34,True,False,730,3838,1.6,3.2,7,2
family_000356,2026-W35,True,False,0,3001,1.6,4.8,6,2
family_000356,2026-W36,True,True,1019,8446,4.4,9.2,41,3
family_000360,2026-W33,True,False,1114,9796,2.6,2.6,23,3
family_000360,2026-W34,True,True,1559,13840,5.0,7.6,64,3
family_000360,2026-W35,True,False,0,4628,1.6,9.2,9,2
family_000360,2026-W36,True,True,5087,9065,3.8,13.0,47,2
family_000362,2026-W33,False,False,0,5975,0.0,0.0,0,1
family_000362,2026-W34,True,False,0,4495,1.0,1.0,12,1
family_000362,2026-W35,True,True,1537,3384,2.8,3.8,31,1
family_000362,2026-W36,True,True,1867,8324,3.0,6.8,45,1
family_000363,2026-W33,True,True,1841,7335,3.8,3.8,43,2
family_000363,2026-W34,True,False,421,2509,1.6,5.4,5,2
family_000363,2026-W35,True,True,1573,3228,3.6,9.0,31,2
family_000363,2026-W36,True,True,4028,11127,3.6,12.6,47,2
family_000365,2026-W33,True,True,5157,11779,4.4,4.4,48,3
family_000365,2026-W34,True,False,0,2889,1.6,6.0,5,2
family_000365,2026-W35,True,True,637,637,3.6,9.6,26,2
family_000365,2026-W36,True,True,2648,4715,2.8,12.4,34,1
family_000368,2026-W33,True,False,3190,10592,1.8,1.8,25,2
family_000368,2026-W34,True,False,2715,11131,1.8,3.6,26,2
family_000368,2026-W35,True,True,3407,10732,4.0,7.6,54,2
family_000368,2026-W36,True,True,2631,6526,3.8,11.4,42,2
family_000372,2026-W33,True,True,2249,3312,3.6,3.6,31,2
family_000372,2026-W34,True,True,2277,10447,3.6,7.2,45,2
family_000372,2026-W35,True,True,2726,5996,3.6,10.8,36,2
family_000372,2026-W36,True,True,4786,11469,2.8,13.6,47,1
family_000380,2026-W33,True,True,12051,35423,4.8,4.8,103,3
family_000380,2026-W34,True,True,18621,51020,5.0,9.8,151,3
family_000380,2026-W35,True,True,10700,27648,4.0,13.8,88,2
family_000380,2026-W36,True,False,6066,25240,2.0,15.8,58,2
family_000386,2026-W33,True,True,1235,2746,3.6,3.6,30,2
family_000386,2026-W34,True,True,5023,5767,3.0,6.6,40,1
family_000386,2026-W35,True,False,907,907,0.8,7.4,1,1
family_000386,2026-W36,True,False,0,1926,0.8,8.2,3,1
family_000387,2026-W33,True,False,0,18245,0.8,0.8,36,1
family_000387,2026-W34,True,True,3142,11552,4.6,5.4,52,3
family_000387,2026-W35,True,False,0,11789,1.8,7.2,27,2
family_000387,2026-W36,True,False,0,17483,1.6,8.8,34,2
family_000388,2026-W33,True,False,0,0,0.0,0.0,0,0
family_000388,2026-W34,True,True,3474,4245,2.8,2.8,33,1
family_000388,2026-W35,True,True,1993,3251,2.8,5.6,31,1
family_000388,2026-W36,True,False,0,1203,0.8,6.4,2,1
family_000390,2026-W33,True,True,2919,6016,2.8,2.8,37,1
family_000390,2026-W34,True,True,2314,4918,3.6,6.4,34,2
family_000390,2026-W35,True,False,0,4726,1.6,8.0,9,2
family_000390,2026-W36,True,True,1920,1920,2.8,10.8,28,1
family_000391,2026-W33,True,True,4118,12288,4.8,4.8,57,3
family_000391,2026-W34,True,True,5735,7021,3.6,8.4,39,2
family_000391,2026-W35,True,True,1206,2177,3.6,12.0,29,2
family_000391,2026-W36,True,True,1211,2244,3.6,15.6,29,2
family_000393,2026-W33,True,True,5221,9096,4.4,4.4,43,3
family_000393,2026-W34,True,True,1936,8289,4.6,9.0,45,3
family_000393,2026-W35,True,True,1867,9763,4.6,13.6,48,3
family_000393,2026-W36,True,False,1599,6751,1.6,15.2,13,2
family_000394,2026-W33,True,False,0,2112,1.6,1.6,4,2
family_000394,2026-W34,True,True,4861,4861,3.6,5.2,34,2
family_000394,2026-W35,True,True,877,5954,3.6,8.8,36,2
family_000394,2026-W36,True,False,0,7909,0.8,9.6,15,1
family_000398,2026-W33,True,True,4369,14887,4.0,4.0,62,2
family_000398,2026-W34,True,True,10687,17387,4.0,8.0,67,2
family_000398,2026-W35,True,True,3943,13503,3.8,11.8,56,2
family_000398,2026-W36,True,True,9370,20556,4.2,16.0,78,2
family_000404,2026-W33,True,False,0,12185,2.6,2.6,28,3
family_000404,2026-W34,True,True,10619,21645,3.4,6.0,80,1
family_000404,2026-W35,True,True,8544,10627,4.0,10.0,54,2
family_000404,2026-W36,True,True,5610,12701,3.8,13.8,54,2
