family_id,cutoff_exclusive,visits,history_start
family_000313,2026-W37,17,2026-07-13
family_000322,2026-W37,12,2026-07-13
family_000330,2026-W37,13,2026-07-13
family_000336,2026-W37,11,2026-07-13
family_000339,2026-W37,26,2026-07-13
family_000347,2026-W37,21,2026-07-13
family_000350,2026-W37,19,2026-07-13
family_000351,2026-W37,15,2026-07-13
family_000352,2026-W37,21,2026-07-13
family_000356,2026-W37,18,2026-07-13
family_000360,2026-W37,24,2026-07-13
family_000362,2026-W37,12,2026-07-13
family_000363,2026-W37,21,2026-07-13
family_000365,2026-W37,18,2026-07-13
family_000368,2026-W37,17,2026-07-13
family_000372,2026-W37,18,2026-07-13
family_000380,2026-W37,24,2026-07-13
family_000386,2026-W37,15,2026-07-13
family_000387,2026-W37,20,2026-07-13
family_000388,2026-W37,11,2026-07-13
family_000390,2026-W37,13,2026-07-13
family_000391,2026-W37,18,2026-07-13
family_000393,2026-W37,24,2026-07-13
family_000394,2026-W37,16,2026-07-13
family_000398,2026-W37,18,2026-07-13
family_000404,2026-W37,17,2026-07-13
family_000405,2026-W37,19,2026-07-13
family_000406,2026-W37,20,2026-07-13
family_000415,2026-W37,16,2026-07-13
family_000417,2026-W37,12,2026-07-13
family_000420,2026-W37,20,2026-07-13
family_000423,2026-W37,22,2026-07-13
family_000433,2026-W37,13,2026-07-13
family_000436,2026-W37,21,2026-07-13
family_000437,2026-W37,16,2026-07-13
family_000438,2026-W37,19,2026-07-13
family_000440,2026-W37,17,2026-07-13
family_000446,2026-W37,17,2026-07-13
family_000447,2026-W37,16,2026-07-13
family_000448,2026-W37,18,2026-07-13
family_000450,2026-W37,16,2026-07-13
family_000452,2026-W37,25,2026-07-13
family_000455,2026-W37,15,2026-07-13
family_000459,2026-W37,24,2026-07-13
family_000460,2026-W37,21,2026-07-13
family_000461,2026-W37,16,2026-07-13
family_000469,2026-W37,16,2026-07-13
family_000470,2026-W37,21,2026-07-13
family_000475,2026-W37,17,2026-07-13
family_000476,2026-W37,15,2026-07-13
family_000483,2026-W37,16,2026-07-13
family_000485,2026-W37,21,2026-07-13
family_000487,2026-W37,16,2026-07-13
family_000488,2026-W37,11,2026-07-13
family_000495,2026-W37,23,2026-07-13
family_000496,2026-W37,12,2026-07-13
family_000510,2026-W37,18,2026-07-13
family_000517,2026-W37,16,2026-07-13
family_000526,2026-W37,15,2026-07-13
family_000533,2026-W37,18,2026-07-13
family_000534,2026-W37,21,2026-07-13
family_000545,2026-W37,15,2026-07-13
family_000547,2026-W37,19,2026-07-13
family_000552,2026-W37,25,2026-07-13
family_000557,2026-W37,19,2026-07-13
family_000559,2026-W37,19,2026-07-13
family_000562,2026-W37,22,2026-07-13
family_000565,2026-W37,15,2026-07-13
family_000567,2026-W37,23,2026-07-13
family_000570,2026-W37,12,2026-07-13
family_000582,2026-W37,23,2026-07-13
family_000586,2026-W37,15,2026-07-13
family_000593,2026-W37,24,2026-07-13
family_000595,2026-W37,12,2026-07-13
family_000598,2026-W37,24,2026-07-13
family_000603,2026-W37,15,2026-07-13
family_000606,2026-W37,24,2026-07-13
family_000611,2026-W37,15,2026-07-13
family_000614,2026-W37,17,2026-07-13
family_000618,2026-W37,21,2026-07-13
family_000621,2026-W37,16,2026-07-13
family_000629,2026-W37,14,2026-07-13
family_000634,2026-W37,20,2026-07-13
family_000641,2026-W37,21,2026-07-13
family_000643,2026-W37,19,2026-07-13
family_000644,2026-W37,21,2026-07-13
family_000658,2026-W37,20,2026-07-13
family_000661,2026-W37,13,2026-07-13
family_000665,2026-W37,16,2026-07-13
family_000666,2026-W37,17,2026-07-13
family_000675,2026-W37,24,2026-07-13
family_000682,2026-W37,18,2026-07-13
family_000683,2026-W37,15,2026-07-13
family_000684,2026-W37,15,2026-07-13
family_000686,2026-W37,18,2026-07-13
family_000688,2026-W37,19,2026-07-13
family_000689,2026-W37,23,2026-07-13
family_000694,2026-W37,14,2026-07-13
family_000696,2026-W37,13,2026-07-13
family_000700,2026-W37,17,2026-07-13
family_000702,2026-W37,24,2026-07-13
family_000708,2026-W37,21,2026-07-13
family_000716,2026-W37,23,2026-07-13
family_000718,2026-W37,21,2026-07-13
family_000722,2026-W37,22,2026-07-13
family_000725,2026-W37,14,2026-07-13
family_000727,2026-W37,21,2026-07-13
family_000735,2026-W37,20,2026-07-13
family_000739,2026-W37,13,2026-07-13
family_000743,2026-W37,18,2026-07-13
family_000745,2026-W37,17,2026-07-13
family_000746,2026-W37,19,2026-07-13
family_000753,2026-W37,23,2026-07-13
family_000755,2026-W37,15,2026-07-13
family_000760,2026-W37,24,2026-07-13
family_000768,2026-W37,15,2026-07-13
family_000774,2026-W37,18,2026-07-13
family_000780,2026-W37,23,2026-07-13
family_000800,2026-W37,19,2026-07-13
family_000802,2026-W37,25,2026-07-13
family_000817,2026-W37,18,2026-07-13
family_000818,2026-W37,16,2026-07-13
family_000821,2026-W37,19,2026-07-13
family_000835,2026-W37,19,2026-07-13
family_000836,2026-W37,18,2026-07-13
family_000838,2026-W37,18,2026-07-13
family_000841,2026-W37,16,2026-07-13
family_000843,2026-W37,21,2026-07-13
family_000846,2026-W37,24,2026-07-13
family_000848,2026-W37,10,2026-07-13
family_000849,2026-W37,17,2026-07-13
family_000853,2026-W37,14,2026-07-13
family_000856,2026-W37,16,2026-07-13
family_000862,2026-W37,21,2026-07-13
family_000867,2026-W37,23,2026-07-13
family_000869,2026-W37,21,2026-07-13
family_000874,2026-W37,24,2026-07-13
family_000875,2026-W37,18,2026-07-13
family_000877,2026-W37,18,2026-07-13
family_000878,2026-W37,19,2026-07-13
family_000883,2026-W37,23,2026-07-13
family_000885,2026-W37,24,2026-07-13
family_000886,2026-W37,19,2026-07-13
family_000889,2026-W37,23,2026-07-13
family_000893,2026-W37,15,2026-07-13
family_000896,2026-W37,17,2026-07-13
family_000897,2026-W37,25,2026-07-13
family_000908,2026-W37,13,2026-07-13
family_000910,2026-W37,25,2026-07-13
family_000911,2026-W37,21,2026-07-13
family_000912,2026-W37,16,2026-07-13
family_000915,2026-W37,19,2026-07-13
family_000916,2026-W37,12,2026-07-13
family_000923,2026-W37,17,2026-07-13
family_000925,2026-W37,20,2026-07-13
family_000927,2026-W37,20,2026-07-13
family_000937,2026-W37,19,2026-07-13
family_000943,2026-W37,21,2026-07-13
family_000945,2026-W37,19,2026-07-13
family_000947,2026-W37,20,2026-07-13
family_000949,2026-W37,18,2026-07-13
family_000956,2026-W37,18,2026-07-13
family_000957,2026-W37,16,2026-07-13
family_000960,2026-W37,24,2026-07-13
family_000963,2026-W37,14,2026-07-13
family_000967,2026-W37,24,2026-07-13
family_000976,2026-W37,16,2026-07-13
family_000981,2026-W37,23,2026-07-13
family_000984,2026-W37,14,2026-07-13
family_000985,2026-W37,10,2026-07-13
family_001002,2026-W37,24,2026-07-13
family_001003,2026-W37,14,2026-07-13
family_001005,2026-W37,19,2026-07-13
family_001006,2026-W37,17,2026-07-13
family_001009,2026-W37,15,2026-07-13
family_001015,2026-W37,21,2026-07-13
family_001016,2026-W37,13,2026-07-13
family_001020,2026-W37,16,2026-07-13
family_001024,2026-W37,17,2026-07-13
family_001034,2026-W37,16,2026-07-13
family_001036,2026-W37,16,2026-07-13
family_001043,2026-W37,18,2026-07-13
family_001045,2026-W37,16,2026-07-13
family_001057,2026-W37,15,2026-07-13
family_001074,2026-W37,24,2026-07-13
family_001078,2026-W37,17,2026-07-13
family_001083,2026-W37,20,2026-07-13
family_001085,2026-W37,16,2026-07-13
family_001086,2026-W37,17,2026-07-13
family_001088,2026-W37,21,2026-07-13
family_001091,2026-W37,25,2026-07-13
family_001096,2026-W37,23,2026-07-13
family_001100,2026-W37,22,2026-07-13
family_001101,2026-W37,23,2026-07-13
family_001102,2026-W37,15,2026-07-13
family_001103,2026-W37,15,2026-07-13
family_001105,2026-W37,14,2026-07-13
family_001110,2026-W37,13,2026-07-13
family_001113,2026-W37,16,2026-07-13
family_001121,2026-W37,16,2026-07-13
family_001123,2026-W37,20,2026-07-13
family_001130,2026-W37,18,2026-07-13
family_001135,2026-W37,23,2026-07-13
family_001136,2026-W37,18,2026-07-13
family_001141,2026-W37,24,2026-07-13
family_001143,2026-W37,22,2026-07-13
family_001144,2026-W37,16,2026-07-13
family_001145,2026-W37,22,2026-07-13
family_001146,2026-W37,17,2026-07-13
family_001149,2026-W37,24,2026-07-13
family_001153,2026-W37,23,2026-07-13
family_001163,2026-W37,12,2026-07-13
family_001167,2026-W37,21,2026-07-13
family_001170,2026-W37,16,2026-07-13
family_001175,2026-W37,14,2026-07-13
family_001176,2026-W37,21,2026-07-13
family_001178,2026-W37,17,2026-07-13
family_001179,2026-W37,16,2026-07-13
family_001183,2026-W37,16,2026-07-13
family_001185,2026-W37,13,2026-07-13
family_001189,2026-W37,22,2026-07-13
family_001190,2026-W37,22,2026-07-13
family_001195,2026-W37,14,2026-07-13
family_001204,2026-W37,21,2026-07-13
family_001207,2026-W37,22,2026-07-13
family_001208,2026-W37,11,2026-07-13
family_001211,2026-W37,14,2026-07-13
family_001217,2026-W37,16,2026-07-13
family_001219,2026-W37,24,2026-07-13
family_001221,2026-W37,14,2026-07-13
family_001225,2026-W37,14,2026-07-13
family_001227,2026-W37,16,2026-07-13
family_001230,2026-W37,18,2026-07-13
family_001231,2026-W37,12,2026-07-13
family_001232,2026-W37,17,2026-07-13
family_001237,2026-W37,16,2026-07-13
family_001238,2026-W37,18,2026-07-13
family_001245,2026-W37,18,2026-07-13
family_001251,2026-W37,23,2026-07-13
family_001267,2026-W37,15,2026-07-13
family_001291,2026-W37,23,2026-07-13
family_001293,2026-W37,16,2026-07-13
family_001297,2026-W37,16,2026-07-13
family_001298,2026-W37,18,2026-07-13
family_001301,2026-W37,23,2026-07-13
family_001302,2026-W37,14,2026-07-13
family_001304,2026-W37,25,2026-07-13
family_001311,2026-W37,18,2026-07-13
family_001315,2026-W37,20,2026-07-13
family_001319,2026-W37,16,2026-07-13
family_001322,2026-W37,18,2026-07-13
family_001323,2026-W37,16,2026-07-13
family_001326,2026-W37,23,2026-07-13
family_001335,2026-W37,12,2026-07-13
family_001338,2026-W37,17,2026-07-13
family_001340,2026-W37,21,2026-07-13
family_001349,2026-W37,19,2026-07-13
family_001354,2026-W37,26,2026-07-13
family_001368,2026-W37,25,2026-07-13
family_001369,2026-W37,23,2026-07-13
family_001373,2026-W37,15,2026-07-13
family_001383,2026-W37,15,2026-07-13
family_001392,2026-W37,16,2026-07-13
family_001393,2026-W37,14,2026-07-13
family_001394,2026-W37,17,2026-07-13
family_001395,2026-W37,15,2026-07-13
family_001397,2026-W37,23,2026-07-13
family_001399,2026-W37,20,2026-07-13
family_001407,2026-W37,16,2026-07-13
family_001411,2026-W37,22,2026-07-13
family_001414,2026-W37,16,2026-07-13
family_001415,2026-W37,13,2026-07-13
family_001416,2026-W37,22,2026-07-13
family_001422,2026-W37,23,2026-07-13
family_001431,2026-W37,18,2026-07-13
family_001436,2026-W37,19,2026-07-13
family_001438,2026-W37,17,2026-07-13
family_001445,2026-W37,14,2026-07-13
family_001446,2026-W37,14,2026-07-13
family_001448,2026-W37,13,2026-07-13
family_001449,2026-W37,22,2026-07-13
family_001458,2026-W37,24,2026-07-13
family_001461,2026-W37,13,2026-07-13
family_001465,2026-W37,18,2026-07-13
family_001471,2026-W37,15,2026-07-13
family_001473,2026-W37,16,2026-07-13
family_001475,2026-W37,21,2026-07-13
family_001476,2026-W37,21,2026-07-13
family_001477,2026-W37,13,2026-07-13
family_001487,2026-W37,22,2026-07-13
family_001490,2026-W37,18,2026-07-13
family_001491,2026-W37,17,2026-07-13
family_001492,2026-W37,21,2026-07-13
family_001493,2026-W37,18,2026-07-13
family_001495,2026-W37,23,2026-07-13
family_001496,2026-W37,21,2026-07-13
family_001497,2026-W37,14,2026-07-13
family_001498,2026-W37,23,2026-07-13
family_001500,2026-W37,13,2026-07-13
family_001503,2026-W37,18,2026-07-13
family_001505,2026-W37,11,2026-07-13
family_001511,2026-W37,19,2026-07-13
family_001522,2026-W37,18,2026-07-13
family_001523,2026-W37,21,2026-07-13
family_001524,2026-W37,23,2026-07-13
family_001531,2026-W37,16,2026-07-13
family_001536,2026-W37,18,2026-07-13
family_001539,2026-W37,15,2026-07-13
family_001541,2026-W37,17,2026-07-13
family_001545,2026-W37,26,2026-07-13
family_001546,2026-W37,22,2026-07-13
family_001555,2026-W37,23,2026-07-13
family_001556,2026-W37,22,2026-07-13
family_001562,2026-W37,24,2026-07-13
family_001564,2026-W37,19,2026-07-13
family_001571,2026-W37,14,2026-07-13
family_001575,2026-W37,24,2026-07-13
family_001584,2026-W37,13,2026-07-13
family_001588,2026-W37,18,2026-07-13
family_001590,2026-W37,16,2026-07-13
family_001593,2026-W37,16,2026-07-13
family_001595,2026-W37,24,2026-07-13
family_001597,2026-W37,18,2026-07-13
family_001607,2026-W37,26,2026-07-13
family_001614,2026-W37,24,2026-07-13
family_001617,2026-W37,18,2026-07-13
family_001619,2026-W37,13,2026-07-13
family_001623,2026-W37,21,2026-07-13
family_001624,2026-W37,20,2026-07-13
family_001625,2026-W37,24,2026-07-13
family_001626,2026-W37,15,2026-07-13
family_001629,2026-W37,14,2026-07-13
family_001634,2026-W37,18,2026-07-13
family_001637,2026-W37,17,2026-07-13
family_001639,2026-W37,23,2026-07-13
family_001640,2026-W37,20,2026-07-13
family_001644,2026-W37,11,2026-07-13
family_001647,2026-W37,21,2026-07-13
family_001653,2026-W37,17,2026-07-13
family_001655,2026-W37,12,2026-07-13
family_001661,2026-W37,18,2026-07-13
family_001662,2026-W37,17,2026-07-13
family_001667,2026-W37,19,2026-07-13
family_001668,2026-W37,21,2026-07-13
family_001674,2026-W37,24,2026-07-13
family_001677,2026-W37,22,2026-07-13
family_001679,2026-W37,11,2026-07-13
family_001680,2026-W37,11,2026-07-13
family_001681,2026-W37,17,2026-07-13
family_001689,2026-W37,21,2026-07-13
family_001691,2026-W37,21,2026-07-13
family_001693,2026-W37,16,2026-07-13
family_001694,2026-W37,25,2026-07-13
family_001695,2026-W37,25,2026-07-13
family_001696,2026-W37,21,2026-07-13
family_001699,2026-W37,23,2026-07-13
family_001700,2026-W37,22,2026-07-13
family_001703,2026-W37,23,2026-07-13
family_001709,2026-W37,23,2026-07-13
family_001722,2026-W37,23,2026-07-13
family_001725,2026-W37,18,2026-07-13
family_001730,2026-W37,15,2026-07-13
family_001731,2026-W37,22,2026-07-13
family_001732,2026-W37,15,2026-07-13
family_001749,2026-W37,16,2026-07-13
family_001750,2026-W37,15,2026-07-13
family_001754,2026-W37,19,2026-07-13
family_001759,2026-W37,24,2026-07-13
family_001761,2026-W37,17,2026-07-13
family_001763,2026-W37,15,2026-07-13
family_001765,2026-W37,20,2026-07-13
family_001776,2026-W37,22,2026-07-13
family_001777,2026-W37,11,2026-07-13
family_001778,2026-W37,13,2026-07-13
family_001779,2026-W37,18,2026-07-13
family_001780,2026-W37,20,2026-07-13
family_001784,2026-W37,15,2026-07-13
family_001785,2026-W37,14,2026-07-13
family_001786,2026-W37,19,2026-07-13
family_001790,2026-W37,24,2026-07-13
family_001791,2026-W37,23,2026-07-13
family_001793,2026-W37,21,2026-07-13
family_001797,2026-W37,18,2026-07-13
family_001798,2026-W37,23,2026-07-13
family_001803,2026-W37,18,2026-07-13
family_001808,2026-W37,15,2026-07-13
family_001815,2026-W37,22,2026-07-13
family_001821,2026-W37,24,2026-07-13
family_001824,2026-W37,14,2026-07-13
family_001827,2026-W37,14,2026-07-13
family_001828,2026-W37,18,2026-07-13
family_001829,2026-W37,17,2026-07-13
family_001833,2026-W37,16,2026-07-13
family_001834,2026-W37,23,2026-07-13
family_001847,2026-W37,20,2026-07-13
family_001849,2026-W37,15,2026-07-13
family_001853,2026-W37,16,2026-07-13
family_001860,2026-W37,16,2026-07-13
family_001866,2026-W37,14,2026-07-13
family_001871,2026-W37,25,2026-07-13
family_001877,2026-W37,20,2026-07-13
family_001878,2026-W37,23,2026-07-13
family_001879,2026-W37,16,2026-07-13
family_001888,2026-W37,19,2026-07-13
family_001893,2026-W37,17,2026-07-13
family_001894,2026-W37,17,2026-07-13
family_001901,2026-W37,14,2026-07-13
family_001902,2026-W37,22,2026-07-13
family_001912,2026-W37,21,2026-07-13
family_001924,2026-W37,18,2026-07-13
family_001925,2026-W37,22,2026-07-13
family_001927,2026-W37,21,2026-07-13
family_001931,2026-W37,17,2026-07-13
family_001932,2026-W37,22,2026-07-13
family_001936,2026-W37,17,2026-07-13
family_001948,2026-W37,16,2026-07-13
family_001953,2026-W37,19,2026-07-13
family_001956,2026-W37,25,2026-07-13
family_001960,2026-W37,24,2026-07-13
family_001966,2026-W37,17,2026-07-13
family_001969,2026-W37,15,2026-07-13
family_001970,2026-W37,22,2026-07-13
family_001972,2026-W37,13,2026-07-13
family_001974,2026-W37,15,2026-07-13
family_001989,2026-W37,21,2026-07-13
family_001991,2026-W37,24,2026-07-13
family_001992,2026-W37,19,2026-07-13
family_001995,2026-W37,22,2026-07-13
family_dima,2026-W37,17,2026-07-13
family_ivanovy,2026-W37,17,2026-07-13
